name,id,email,password,parking_spot,lot,account_type
sharry,0,s@gmail.com,Password1!,003,Lassonde,
harry,1,harry@gmail.com,Password1!,001,Calumet,
suha,2,suha@gmail.com,Password1!,,,
alpha,3,alpha@gmail.com,Password1!,002,Bethune,
beta,4,beta@gmail.com,Password1!,,,
gamma,5,gamma@gmail.com,Password1!,,,
delta,6,delta@gmail.com,Password1!,,,
epsilon,7,epsilon@gmail.com,Password1!,,,
digamma,8,gigamma@gmail.com,Password1!,,,
omega,9,omega@gmail.com,Password1!,,,
phi,10,phi@gmail.com,Password1!,,,Faculty
row,11,row@gmail.com,Password1!,006,Bethune,Student
felix,12,felix@gmail.com,Password1!,004,Calumet,Faculty
su,13,su@gmail.com,Password1!,003,Calumet,Faculty
w,14,w@gmail.com,Password1!,006,Lassonde,Faculty
y,15,y@gmail.com,Password1!,001,Schulich,Student
q,16,q@gmail.com,Password1!,008,Lassonde,Visitor
Sharry Choudhry,17,h@gmail.com,Password1!,005,Varnier,Student
